[WARN] [1775886403.137138959] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886403.638363581] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886404.139598851] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886404.640871269] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886405.142094001] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886405.643331290] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886406.144541559] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886406.645768496] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886407.146937821] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886407.648168961] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886408.149386471] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886408.650628926] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886409.151858566] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886409.653088929] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886410.154325754] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886410.655523320] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886411.156751478] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886411.657984804] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886412.159213425] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886412.660790938] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886413.162040227] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886413.663339479] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886414.164629675] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886414.665889889] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886415.167204197] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886415.668470078] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886416.169705477] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886416.670970803] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886417.172183461] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886417.673441787] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886418.174626797] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886418.675817659] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886419.176833631] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886419.678097327] [uart_bridge]: Waiting for pose data from /pose topic...
[WARN] [1775886420.179290411] [uart_bridge]: Waiting for pose data from /pose topic...
