[WARN] [1782869255.732726902] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.832738066] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869255.932731618] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.032714596] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.132730278] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.232728534] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.332734641] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.432738434] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.532730524] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.632734742] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.732729776] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.832735088] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869256.932733029] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.032732896] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.132736615] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.232728241] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.332724626] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.432756771] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.532746175] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.632735098] [rf2o_laser_odometry_node]: Waiting for laser_scans....
[WARN] [1782869257.732729779] [rf2o_laser_odometry_node]: Waiting for laser_scans....
