[INFO] [1775867934.452903181] [motor_controller]: Motor Controller Node started
[INFO] [1775868424.532524842] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868424.589169091] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868424.703531037] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868424.819081323] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868424.820494236] [motor_controller]: cmd_vel -> linear=0.45, angular=0.00, left=0.18, right=0.18
[INFO] [1775868425.339330903] [motor_controller]: cmd_vel -> linear=0.45, angular=0.00, left=0.18, right=0.18
[INFO] [1775868425.397217917] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868425.927867358] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868425.984767793] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.102262939] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.160247008] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.274406602] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.332315023] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.449792002] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868426.622044777] [motor_controller]: cmd_vel -> linear=0.00, angular=2.00, left=-0.18, right=0.18
[INFO] [1775868427.145836392] [motor_controller]: cmd_vel -> linear=0.00, angular=2.00, left=-0.18, right=0.18
[INFO] [1775868427.202961643] [motor_controller]: cmd_vel -> linear=0.00, angular=2.00, left=-0.18, right=0.18
[INFO] [1775868427.260548729] [motor_controller]: cmd_vel -> linear=0.00, angular=2.00, left=-0.18, right=0.18
[INFO] [1775868427.846688396] [motor_controller]: cmd_vel -> linear=0.00, angular=-2.00, left=0.18, right=-0.18
[INFO] [1775868451.782820101] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868451.832662079] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868451.882397945] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868451.932542832] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868451.982372310] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.032679365] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.082573917] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.132873767] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.184117104] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.232787558] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.283263224] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.332628830] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.382546123] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.432716492] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.482404673] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.532599801] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.582397167] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.632721796] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.682718886] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.732648568] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.782357860] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.832580340] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.882516837] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.932707206] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868452.982367776] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868453.032688237] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868453.082380807] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868453.132628491] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
[INFO] [1775868453.182932897] [motor_controller]: cmd_vel -> linear=0.00, angular=0.10, left=0.00, right=0.00
