[INFO] [1775785608.305179295] [motor_controller]: Motor Controller Node started
[INFO] [1775785717.157559669] [motor_controller]: cmd_vel -> linear=-0.14, angular=-0.67, left=0.11, right=-0.16
[INFO] [1775785717.359211206] [motor_controller]: cmd_vel -> linear=-0.16, angular=-0.68, left=0.11, right=-0.17
[INFO] [1775785717.450103729] [motor_controller]: cmd_vel -> linear=-0.28, angular=-0.67, left=0.08, right=-0.19
[INFO] [1775785717.647960396] [motor_controller]: cmd_vel -> linear=-0.32, angular=-0.68, left=0.07, right=-0.20
[INFO] [1775785717.752269877] [motor_controller]: cmd_vel -> linear=-0.50, angular=-0.69, left=0.00, right=-0.24
[INFO] [1775785717.949989913] [motor_controller]: cmd_vel -> linear=-0.47, angular=-0.67, left=0.00, right=-0.23
[INFO] [1775785718.052204698] [motor_controller]: cmd_vel -> linear=-0.40, angular=-0.68, left=0.06, right=-0.22
[INFO] [1775785718.249723455] [motor_controller]: cmd_vel -> linear=-0.45, angular=-0.69, left=0.00, right=-0.23
[INFO] [1775785718.458667919] [motor_controller]: cmd_vel -> linear=-0.55, angular=-0.66, left=0.00, right=-0.24
[INFO] [1775785718.551353859] [motor_controller]: cmd_vel -> linear=-0.79, angular=-0.65, left=0.00, right=-0.29
[INFO] [1775785718.657145144] [motor_controller]: cmd_vel -> linear=-0.83, angular=-0.64, left=0.00, right=-0.30
[INFO] [1775785718.852584594] [motor_controller]: cmd_vel -> linear=-0.94, angular=-0.61, left=-0.07, right=-0.31
[INFO] [1775785719.049463255] [motor_controller]: cmd_vel -> linear=-1.07, angular=-0.59, left=-0.09, right=-0.33
[INFO] [1775785719.153859718] [motor_controller]: cmd_vel -> linear=-1.11, angular=-0.57, left=-0.11, right=-0.34
[INFO] [1775785719.352219424] [motor_controller]: cmd_vel -> linear=-1.15, angular=-0.53, left=-0.12, right=-0.34
[INFO] [1775785719.450453040] [motor_controller]: cmd_vel -> linear=-0.83, angular=-0.51, left=-0.06, right=-0.27
[INFO] [1775785719.655629133] [motor_controller]: cmd_vel -> linear=-0.72, angular=-0.48, left=0.00, right=-0.24
[INFO] [1775785719.751317088] [motor_controller]: cmd_vel -> linear=-0.91, angular=-0.42, left=-0.10, right=-0.27
[INFO] [1775785719.950918726] [motor_controller]: cmd_vel -> linear=-0.59, angular=-0.36, left=0.00, right=-0.19
[INFO] [1775785720.056465955] [motor_controller]: cmd_vel -> linear=0.36, angular=-0.29, left=0.13, right=0.00
[INFO] [1775785720.257850139] [motor_controller]: cmd_vel -> linear=0.75, angular=-0.24, left=0.20, right=0.10
[INFO] [1775785720.356526980] [motor_controller]: cmd_vel -> linear=0.83, angular=-0.47, left=0.26, right=0.07
[INFO] [1775785720.551604465] [motor_controller]: cmd_vel -> linear=1.06, angular=-0.50, left=0.31, right=0.11
[INFO] [1775785720.657267527] [motor_controller]: cmd_vel -> linear=1.33, angular=-0.27, left=0.32, right=0.21
[INFO] [1775785720.853866743] [motor_controller]: cmd_vel -> linear=1.34, angular=-0.30, left=0.33, right=0.21
[INFO] [1775785720.957394868] [motor_controller]: cmd_vel -> linear=0.94, angular=-0.45, left=0.28, right=0.10
[INFO] [1775785721.157784325] [motor_controller]: cmd_vel -> linear=0.67, angular=-0.52, left=0.24, right=0.00
[INFO] [1775785721.250492746] [motor_controller]: cmd_vel -> linear=0.26, angular=-0.56, left=0.16, right=-0.06
[INFO] [1775785721.451648559] [motor_controller]: cmd_vel -> linear=0.35, angular=-0.56, left=0.18, right=0.00
[INFO] [1775785721.557095546] [motor_controller]: cmd_vel -> linear=0.74, angular=-0.41, left=0.23, right=0.07
[INFO] [1775785721.752123328] [motor_controller]: cmd_vel -> linear=0.89, angular=-0.32, left=0.24, right=0.11
[INFO] [1775785721.857603944] [motor_controller]: cmd_vel -> linear=0.83, angular=-0.43, left=0.25, right=0.08
[INFO] [1775785722.055421555] [motor_controller]: cmd_vel -> linear=0.55, angular=-0.44, left=0.20, right=0.00
[INFO] [1775785722.152261609] [motor_controller]: cmd_vel -> linear=0.14, angular=-0.47, left=0.12, right=-0.06
[INFO] [1775785722.351013576] [motor_controller]: cmd_vel -> linear=0.04, angular=-0.47, left=0.10, right=-0.09
[INFO] [1775785722.456166506] [motor_controller]: cmd_vel -> linear=-0.03, angular=-0.48, left=0.09, right=-0.10
[INFO] [1775785722.652370274] [motor_controller]: cmd_vel -> linear=0.02, angular=-0.48, left=0.10, right=-0.09
[INFO] [1775785722.758121096] [motor_controller]: cmd_vel -> linear=0.12, angular=-0.47, left=0.12, right=-0.07
[INFO] [1775785722.957031175] [motor_controller]: cmd_vel -> linear=0.15, angular=-0.47, left=0.13, right=-0.06
[INFO] [1775785723.050241322] [motor_controller]: cmd_vel -> linear=0.38, angular=-0.28, left=0.13, right=0.00
[INFO] [1775785723.258747228] [motor_controller]: cmd_vel -> linear=0.37, angular=-0.12, left=0.10, right=0.00
[INFO] [1775785723.456196355] [motor_controller]: cmd_vel -> linear=0.37, angular=0.02, left=0.07, right=0.08
[INFO] [1775785723.562108659] [motor_controller]: cmd_vel -> linear=0.30, angular=-0.00, left=0.06, right=0.06
[INFO] [1775785723.758766134] [motor_controller]: cmd_vel -> linear=0.22, angular=0.00, left=0.00, right=0.00
[INFO] [1775785723.850677514] [motor_controller]: cmd_vel -> linear=0.20, angular=0.16, left=0.00, right=0.07
[INFO] [1775785724.056906668] [motor_controller]: cmd_vel -> linear=0.20, angular=0.29, left=0.00, right=0.10
[INFO] [1775785724.150282963] [motor_controller]: cmd_vel -> linear=0.15, angular=0.40, left=-0.05, right=0.11
[INFO] [1775785724.361914830] [motor_controller]: cmd_vel -> linear=0.20, angular=0.48, left=-0.06, right=0.14
[INFO] [1775785724.456561724] [motor_controller]: cmd_vel -> linear=0.13, angular=0.52, left=-0.08, right=0.13
[INFO] [1775785724.653757350] [motor_controller]: cmd_vel -> linear=0.13, angular=0.58, left=-0.09, right=0.14
[INFO] [1775785724.749809029] [motor_controller]: cmd_vel -> linear=0.19, angular=0.56, left=-0.07, right=0.15
[INFO] [1775785724.949822540] [motor_controller]: cmd_vel -> linear=0.14, angular=0.56, left=-0.08, right=0.14
[INFO] [1775785725.054112928] [motor_controller]: cmd_vel -> linear=0.44, angular=0.50, left=0.00, right=0.19
