[INFO] [1775785857.859818957] [motor_controller]: Motor Controller Node started
[INFO] [1775786271.483127428] [motor_controller]: cmd_vel -> linear=-2.18, angular=0.09, left=-0.45, right=-0.42
[INFO] [1775786271.676743006] [motor_controller]: cmd_vel -> linear=-2.21, angular=0.12, left=-0.47, right=-0.42
[INFO] [1775786271.779089954] [motor_controller]: cmd_vel -> linear=-2.24, angular=0.10, left=-0.47, right=-0.43
[INFO] [1775786271.984843189] [motor_controller]: cmd_vel -> linear=-2.12, angular=0.09, left=-0.44, right=-0.40
[INFO] [1775786272.080872234] [motor_controller]: cmd_vel -> linear=-1.95, angular=0.12, left=-0.41, right=-0.37
[INFO] [1775786272.279047225] [motor_controller]: cmd_vel -> linear=-1.98, angular=0.11, left=-0.42, right=-0.38
[INFO] [1775786272.384037502] [motor_controller]: cmd_vel -> linear=-1.92, angular=0.08, left=-0.40, right=-0.37
[INFO] [1775786272.585143768] [motor_controller]: cmd_vel -> linear=-1.84, angular=0.08, left=-0.38, right=-0.35
[INFO] [1775786272.677160198] [motor_controller]: cmd_vel -> linear=-1.77, angular=0.04, left=-0.36, right=-0.35
[INFO] [1775786272.875397227] [motor_controller]: cmd_vel -> linear=-1.64, angular=0.02, left=-0.33, right=-0.32
[INFO] [1775786272.978053287] [motor_controller]: cmd_vel -> linear=-1.41, angular=-0.01, left=-0.28, right=-0.28
[INFO] [1775786273.184729972] [motor_controller]: cmd_vel -> linear=-1.25, angular=-0.02, left=-0.24, right=-0.25
[INFO] [1775786273.281002277] [motor_controller]: cmd_vel -> linear=-1.16, angular=-0.09, left=-0.21, right=-0.25
[INFO] [1775786273.486387732] [motor_controller]: cmd_vel -> linear=-1.25, angular=-0.13, left=-0.22, right=-0.28
[INFO] [1775786273.576473819] [motor_controller]: cmd_vel -> linear=-1.01, angular=-0.13, left=-0.18, right=-0.23
[INFO] [1775786273.788551939] [motor_controller]: cmd_vel -> linear=-0.91, angular=-0.14, left=-0.15, right=-0.21
[INFO] [1775786273.890075994] [motor_controller]: cmd_vel -> linear=-0.90, angular=-0.18, left=-0.14, right=-0.22
[INFO] [1775786274.077125241] [motor_controller]: cmd_vel -> linear=-0.89, angular=-0.22, left=-0.13, right=-0.22
[INFO] [1775786274.184472623] [motor_controller]: cmd_vel -> linear=-0.82, angular=-0.24, left=-0.12, right=-0.21
[INFO] [1775786274.380000211] [motor_controller]: cmd_vel -> linear=-0.91, angular=-0.30, left=-0.12, right=-0.24
[INFO] [1775786274.479512200] [motor_controller]: cmd_vel -> linear=-0.71, angular=-0.34, left=-0.07, right=-0.21
[INFO] [1775786274.691665321] [motor_controller]: cmd_vel -> linear=-0.67, angular=-0.34, left=-0.07, right=-0.20
[INFO] [1775786274.787089602] [motor_controller]: cmd_vel -> linear=-0.60, angular=-0.39, left=0.00, right=-0.20
